file,module_key,lines,requires,mount_anchors,tables,rpcs,edge_functions,storage_buckets,realtime_channels,window_globals,dom_events,polling,mock_fallback,note
activite.js,activite,1346,,,"","get_activite_equipe|get_transfo","","","","__act|__actBusBound|__actDpOutside|__actDrawCharts|__actLoadKeyInflight|__actLoadPromise|__actObserver|__chartjsPromise|__renderActivite|oropraSite","click|mousedown|mouseenter",no,no,
admin.js,admin,2115,,,"USER","","","","","__odaRO","change|click|input|keydown|resize",no,no,
agenda.js,agenda,1314,,,"CLIENT|USER|rdv_type","client_creer|create_bilaterale|create_creneau|create_rdv_client|delete_bilaterale|delete_rdv_client|get_agenda_perimeter|get_calendar_events|update_bilaterale|update_rdv_client","","","","__OD_SB__|__agendaCollabOutside|__agendaPerim|__agendaPerimSel|__agendaPoll|__agendaRefetch|__agendaSelected|__agendaToastT|__dash|__oropraDoublonsChargement|oropraDoublons|oropraSite","change|click|input|keydown|mousedown|mouseenter|mouseleave",yes,no,
annuaire.js,annuaire,552,,,"ROLE|SITE|USER|USER_SITE","","","","","","change|click|input",no,no,
auth.js,auth,328,,,"USER","get_current_user|set_password_changed","","","","__OD_TENANT__|__authState","click|keydown",no,no,
auth.js,topnav,328,,,"USER","get_current_user|set_password_changed","","","","__OD_TENANT__|__authState","click|keydown",no,no,
bdc-vn.js,bdc-vn,502,,,"CLIENT|import_bdc_vn","commit_import_bdc_vn","","","","","change|click|drop",no,no,
bilaterales.js,bilaterales,2641,,,"generated_documents|v_contacts_client","get_bilaterale_detail|get_bilaterale_engagements|get_bilaterale_tenue_vendeurs|get_bilaterales|get_bilaterales_historique|get_cadence_bilaterales|get_chefs_bilaterales|get_engagements_ouverts|get_perimetre_sites|get_vendeur_synthese|realiser_bilaterale_complet","","","","__bil|__bilDocClickBound|__bilDraftField|__bilEngInput|__bilLoadData|__bilPeriodTimer|__bilRO|__bilResize|__bilRoute|__bilSetPeriod|__bilSuiviSearch|__bilVer|__bilViewerId|__odSignRows|__rcToggle|__rcVoipAudio|__rcVoipPlay|__rcVoipSeek|__rcWaPlay|__rcWaSeek|__realDocClickBound2|__realRoute2","canplay|click|resize",yes,no,
cf-fiche.js,cf-fiche,743,,,"CLIENT|client_view_history","client_doublons|client_signaler_doublon","","","","__cf|__cfListenerBound","change|click|input|oropra-client-selected|oropra-history-updated",no,no,
client-history.js,client-history,249,,,"client_view_history","","","","","__ch|__chDocOutsideBound|__chHistoryListenerBound|__chMoBound","click|mousedown|oropra-history-updated|oropra-client-selected",no,no,
client-search.js,client-search,1050,,,"CLIENT","client_creer|cycle_ouvrir","","","","__crs|__oropraDoublonsChargement|oropraDoublons|oropraSite","change|click|input|keydown",no,no,
contacts.js,contacts,312,,,"CYCLE_COM|v_contacts_client","","","email-attachments","","__contactsState|__contactsWatch|__ctPlay|__ctSeek|__emDownload|__odSignRows|__oropraContactCard|__oropraContactFilter|__toggle|__voipAudio","",yes,no,
dashboard.js,dashboard,869,,agenda|agenda,"","get_activite_equipe|get_dashboard|get_dashboard_leads|get_stock_synthese","","","","__dash|__dashBus|__dashOut|__leadMgmt|oropraSite","change|click|mousedown|mouseenter",no,no,
delco-badge.js,delco-badge,158,,,"","agent_signals_count","","","","__delcoBadge","click|visibilitychange",yes,no,
delco-chat.js,delco-chat,844,,,"USER|agent_chat_messages|agent_chat_threads","delco_query_sql","delco-pdf|export-xslx","","","__delco|__delcoChatRO|__delcoChatResize","click|input|keydown|resize",no,no,
delco-page.js,delco-page,1359,,,"CLIENT|SITE|USER","agent_signal_mark|agent_signals_list","","","","__delcoBadge|__delcoBusHandler|__delcoPage|__delcoPageBusBound|__delcoPageRO|__delcoPageResize|oropraSite","click|resize|visibilitychange",yes,no,
email.js,email,564,,,"CYCLE_COM|USER|email_accounts|emails","enqueue_email","email-send","","","__EMAIL_UI__|__contactsState|__emailState","blur|click|focus|input|keydown|mousedown",no,no,
entreprise.js,entreprise,615,,,"CLIENT","attach_entreprise|client_creer|detach_rattachement|get_rattachements_particulier","","","","__entr|__oropraDoublonsChargement|__renderEntr|oropraDoublons|oropraSite","input|keydown",yes,no,
fiche-shell.js,fiche-shell,337,,rpv,"CLIENT","","","","","__fsWatch","click",yes,no,
hello-cdn.js,hello-cdn,10,,,"","","","","","","",no,no,
historique.js,historique,239,,,"v_contacts_client|v_historique_cycles","","","","","__histoState|__histoWatch|__odSignRows|__oropraContactCard|__oropraContactFilter","click",yes,no,
kanban.js,kanban,2475,,,"APV|CLIENT|CLIENT_STOCK|CONTRE_MARQUE|PROPALE_BDC|STOCKVO|USER|generated_documents|v_liste_vo","client_creer|get_affaire_versions|get_agenda_perimeter|get_kanban_cards|get_kanban_vendeurs|move_propale","","","","__kanBusBound|__kanCurrentVORow|__kanDnDBound|__kanDocClickBound|__kanDpOutside|__kanLoadData|__kanPerim|__kanPerimSel|__kanPhotoCache|__kanRO|__kanResize|__kanRoute|__kanVendSearch|__kanVer|__kanban|__oropraDoublonsChargement|__vop|oropraDoublons|oropraSite","change|click|dragend|dragleave|dragover|dragstart|drop|input|keydown|mousedown|mouseenter|resize",yes,yes,
lead-mgmt.js,lead-mgmt,2182,,,"v_cloture_cycle|v_cycles_actifs|v_cycles_kanban|v_lead_kpi_site|v_lead_kpi_vendeur|v_leads|v_premier_contact|v_user_cycles_recent|v_user_perimeter","creer_campagne_sollicitation|get_campagnes_sollicitation|get_classement_vendeur|get_leads_par_jour|get_leads_par_source","","","","__chartjsPromise|__leadBusBound|__leadMgmt|__leadRO|__leadResize|__leadVer|__lmDpOutside|__renderLeadMgmt|oropraSite","change|click|input|mousedown|mouseenter|resize",no,no,
likes.js,likes,246,,,"CLIENT|CLIENT_STOCK|CONTRE_MARQUE|PROPALE_BDC|SITE|STOCKVO|USER","get_v_likes","","","","__likesState|__likesWatch|__oropraConfirm","click",yes,no,
notif-badge.js,notif-badge,174,,,"USER_SITE|v_user_perimeter","get_user_notifications","","","","__OROPRA_NOTIF_BADGE__|oropraNotifBadgeRefresh|oropraSite","oropra-notif-refresh|oropra-user-ready",yes,no,
notifications.js,notifications,642,,,"CLIENT","get_user_notifications|notif_ignorer_cycle|notif_ignorer_orphelin|notif_ignorer_rpv","","","oropra-notifs","oropraNotifBadgeRefresh|oropraSite","change|click|oropra-client-selected|oropra-notif-refresh",no,no,
objectifs.js,objectifs,664,,,"","","","","","__objBoot|__objBp|__objCardF|__objResizeObs|__objState|__renderObj","blur|change|click|focus|input|keydown|resize",no,no,
onboarding.js,onboarding,325,,,"fleet_snapshot|fleet_snapshot_tenant|onboarding_step|v_onboarding","","","","","","blur|click",no,no,
oropra-doublons.js,,218,,,"","","","","","oropraDoublons","",no,no,NO OD.define FOUND
pcom.js,pcom,396,,,"generated_documents","get_propales_client","","","","__pcomChangeHandler|__pcomClickHandler|__pcomReload","change|click",no,no,
performances.js,performances,1268,,,"v_performances_v2|v_user_perimeter","","","","","__OD_PERF_PERIODE__|__chartjsPromise|__perf|__perfBusBound|__perfRO|__perfResize|__perfVer|__pfDpOutside|__renderPerf|oropraSite","click|mousedown|mouseenter|resize",no,no,
propale-vo.js,propale-vo,882,,propale-vo,"CLIENT|CONTRE_MARQUE|PROPALE_BDC|SITE|STOCKVO|USER|bareme_cheval_fiscal|bareme_malus_co2","move_propale","","","","","change|click|input",no,no,
rdv.js,rdv,608,,,"v_contacts_client","get_rdv_client","","","","__odSignRows|__rcToggle|__rcVoipAudio|__rcVoipPlay|__rcVoipSeek|__rcWaPlay|__rcWaSeek|__rdvClickHandler|__rdvReload","canplay|click",no,no,
rpv.js,rpv,661,,,"CYCLE_COM|RAPPORT_VENDEUR|v_contacts_client","rpv_close_reopen_cycle","","","","__contactsState|__histoState|__rpv|__rpvRO|__rpvResize","change|click|input|resize|oropra-rpv-saved",no,no,
site-bus.js,site-bus,208,,,"SITE|USER|USER_SITE|v_user_perimeter","","","","","oropraSite|oropraUser","oropra-user-ready",yes,no,
sms.js,sms,373,,,"sms_messages|v_contacts_client","","","","sms_thread_","__SMS_UI__|__smsState|oropraUser","click|input|keydown|pointercancel|pointerdown|pointermove|pointerup|oropra-sms-close",no,no,
socle.js,,466,,,"","","","","","__OD_SB__,__OD_TENANT__,oropraLoadUser","popstate,oropra-user-ready",yes,no,NO OD.define FOUND
topnav.js,topnav,1044,,client-history,"","client_arbitrage_detail|client_arbitrer|client_file_arbitrage","","","","__delcoBadge|__navClientEvt|__navClientPoll|__navHistoMO|__navMo|__navNotifsPoll|__navOutside|__navSafety|__navSiteApi|__navSiteBeat|__navSiteEvt|__navSiteUnsub|__navUserReadyBound|__navVer|oropraSite","click|mousedown|oropra-client-selected|oropra-site-changed|oropra-user-ready|oropra-user-ready",yes,no,
tours.js,tours,360,,,"","","","","","","click|resize|scroll",no,no,
tutos.js,tutos,438,,,"","","","","","__tutosState","click|hashchange|input|keydown",no,no,
vehicules.js,vehicules,224,,,"APV|CLIENT|CLIENT_STOCK|SITE","get_v_likes","","","","__oropraConfirm|__vehState|__vehWatch","click",yes,no,
vo-liste.js,vo-liste,3375,,,"APV|CLIENT|CLIENT_STOCK|CONTRE_MARQUE|PROPALE_BDC|SITE|USER|v_liste_vo","client_creer","","","","__oropraDoublonsChargement|__voClearSel|__voExcel|__voPosters|__voReload|__voSiteEvt|__voSiteSub|__vop|oropraDoublons|oropraSite","change|click|dragleave|dragover|drop|input|keydown|mousedown|mouseenter|mouseleave|mousemove|oropra-site-changed",yes,no,
voip-init.js,voip-init,224,,,"","","","","","__VOIP_UI__","",yes,no,
voip-ui.js,voip-ui,333,,,"","","","","","","click",yes,no,
whatsapp.js,whatsapp,514,,,"SITE|v_wa_thread_items|wa_contacts|wa_conversations","","","","wa_thread_","__WA_UI__|__waState","pointercancel|pointerdown|pointermove|pointerup",no,no,
